model,oem,network_edge,weight,display_size,height,width,depth,battery,launch.year,launch.day,launch.month
Moto G8,Motorola,nan,188.3,16.256,161.3,75.8,9.0,11.966144913345602,2020.0,5.0,3.0
Moto G Stylus,Motorola,nan,192.0,16.256,158.6,75.8,9.2,11.966144913345602,2020.0,7.0,2.0
Moto G Power,Motorola,nan,199.0,16.256,159.9,75.8,9.6,12.288000889707574,2020.0,7.0,2.0
Moto G8 Power,Motorola,nan,197.0,16.256,156.0,75.8,9.6,12.288000889707574,2020.0,7.0,2.0
One Hyper,Motorola,nan,210.0,16.51,161.8,76.6,8.9,11.966144913345602,2019.0,4.0,12.0
Razr 2019,Motorola,nan,205.0,15.748000000000001,172.0,72.0,6.9,11.2940463132715,2019.0,14.0,11.0
Moto G8 Play,Motorola,nan,183.6,15.748000000000001,157.6,75.4,9.0,11.966144913345602,2019.0,,10.0
Moto E6 Play,Motorola,nan,140.0,13.97,146.5,70.9,8.3,11.551227603598289,2019.0,,10.0
Moto G8 Plus,Motorola,nan,188.0,16.002,158.4,75.8,9.1,11.966144913345602,2019.0,24.0,10.0
One Macro,Motorola,nan,186.0,15.748000000000001,157.6,75.4,9.0,11.966144913345602,2019.0,9.0,10.0
Moto E6 Plus,Motorola,nan,149.7,15.494,155.6,73.1,8.6,11.551227603598289,2019.0,5.0,9.0
One Zoom,Motorola,nan,190.0,16.2306,158.0,75.0,8.8,11.966144913345602,2019.0,5.0,9.0
One Action,Motorola,nan,176.0,16.002,160.1,71.2,9.2,11.773551346428505,2019.0,16.0,8.0
Moto E6,Motorola,nan,159.0,13.97,149.7,72.3,8.6,11.551227603598289,2019.0,,7.0
Moto Z4,Motorola,nan,165.0,16.256,158.0,75.0,7.4,11.81418188419028,2019.0,,5.0
One Vision,Motorola,nan,180.0,16.002,160.1,71.2,8.7,11.773551346428505,2019.0,15.0,5.0
XOOM MZ604,Motorola,No,730.0,25.654,249.1,167.8,12.9,,2011.0,,2.0
XOOM MZ601,Motorola,nan,730.0,25.654,249.1,167.8,12.9,,2011.0,,2.0
QUENCH,Motorola,nan,130.0,7.8740000000000006,116.8,60.0,12.4,10.47269083924278,2010.0,,2.0
XT701,Motorola,nan,140.0,9.398000000000001,116.0,60.9,10.9,10.47269083924278,2009.0,,12.0
A910,Motorola,No,127.0,,93.0,51.0,23.0,9.967226258835993,2005.0,,7.0
E895,Motorola,No,127.0,5.588000000000001,93.0,51.0,23.0,9.967226258835993,2005.0,,6.0
E1060,Motorola,nan,125.0,,107.0,53.0,21.0,,2005.0,,2.0
C168,Motorola,No,77.0,,104.4,46.0,14.0,9.967226258835993,2005.0,,8.0
E680i,Motorola,No,133.0,6.35,109.0,53.8,20.5,,2005.0,,3.0
V560,Motorola,No,,,,,,,2005.0,,2.0
V186,Motorola,Class 10,92.0,,86.5,44.5,25.0,9.231221180711186,2005.0,,2.0
V176,Motorola,No,,,,,,9.493855449240822,2005.0,,2.0
C980,Motorola,nan,139.0,4.826,114.0,53.0,24.5,9.681238411777805,2004.0,,8.0
A780,Motorola,Yes,141.0,6.35,106.0,53.0,24.0,9.60917873814198,2004.0,,8.0
C975,Motorola,nan,139.0,4.826,114.0,53.0,24.0,9.681238411777805,2004.0,,8.0
V555,Motorola,Yes,120.0,,89.0,49.0,25.0,9.681238411777805,2004.0,,8.0
A840,Motorola,No,115.0,5.588000000000001,94.0,49.0,24.0,,2004.0,,2.0
E398,Motorola,No,108.0,4.826,108.0,46.0,21.0,9.698704666770345,2004.0,,2.0
MPx,Motorola,No,174.0,7.111999999999999,99.7,61.2,24.0,9.90839262077375,2004.0,,2.0
MPx100,Motorola,No,130.0,,114.0,50.0,22.0,,2004.0,,2.0
V872,Motorola,No,90.0,,87.0,46.0,21.8,9.663558104217273,2004.0,,8.0
V878,Motorola,No,85.0,,82.0,42.0,21.5,9.324180546618742,2003.0,,11.0
A925,Motorola,nan,210.0,,148.0,60.0,24.0,10.037546953962178,2003.0,,11.0
A920,Motorola,nan,212.0,,148.0,60.0,24.0,10.037546953962178,2003.0,,
V690,Motorola,No,93.0,,90.0,47.0,23.0,,2003.0,,8.0
A835,Motorola,nan,157.0,,135.0,58.2,24.2,10.037546953962178,2003.0,,
T725,Motorola,No,100.0,,90.0,47.0,21.0,9.552669097514272,2003.0,,
T720i,Motorola,No,100.0,,90.0,47.0,21.0,10.10459875356437,2002.0,,10.0
T720,Motorola,No,100.0,,90.0,47.0,21.0,10.10459875356437,2002.0,,10.0
V70,Motorola,No,83.0,,94.0,38.0,18.0,8.751544059089099,2002.0,,
